movieId,imdbId,tmdbId
1,114709,862.0
2,113497,8844.0
3,113228,15602.0
4,114885,31357.0
5,113041,11862.0
6,113277,949.0
7,114319,11860.0
8,112302,45325.0
9,114576,9091.0
10,113189,710.0
11,112346,9087.0
12,112896,12110.0
13,112453,21032.0
14,113987,10858.0
15,112760,1408.0
16,112641,524.0
17,114388,4584.0
18,113101,5.0
19,112281,9273.0
20,113845,11517.0
21,113161,8012.0
22,112722,1710.0
23,112401,9691.0
24,114168,12665.0
25,113627,451.0
26,114057,16420.0
27,114011,9263.0
28,114117,17015.0
29,112682,902.0
30,115012,37557.0
31,112792,9909.0
32,114746,63.0
33,112431,9598.0
34,112637,47018.0
35,112818,687.0
36,113442,33689.0
37,112697,9603.0
38,112749,34615.0
39,114279,31174.0
40,112819,11443.0
41,114272,35196.0
42,113855,9312.0
43,114681,577.0
44,113347,11861.0
45,114369,807.0
46,114148,10530.0
47,114916,8391.0
48,114814,629.0
49,113819,11448.0
50,110299,49133.0
51,112499,26441.0
52,113158,97406.0
53,113321,9089.0
54,110877,11010.0
55,112714,99040.0
56,113419,11359.0
57,116260,17182.0
58,113862,2054.0
59,116126,10607.0
60,118002,19760.0
61,115683,9536.0
62,116839,11525.0
63,114753,40628.0
64,113149,4482.0
65,113118,10634.0
66,116367,755.0
67,113010,11859.0
68,113537,28387.0
69,113828,48750.0
70,115644,20927.0
71,115676,36929.0
72,114367,9102.0
73,113973,124626.0
74,112744,27526.0
75,116731,9623.0
76,112445,46785.0
77,114660,400.0
78,112379,880.0
79,114039,146599.0
80,113612,188588.0
81,112365,8447.0
82,118158,10534.0
83,116151,17414.0
84,115697,13997.0
85,113972,2086.0
86,113490,61548.0
87,117002,9095.0
88,114825,12158.0
89,115639,9283.0
90,115759,9208.0
91,113403,40154.0
92,113247,406.0
93,113283,63076.0
94,115907,11062.0
95,115734,13685.0
96,117102,47475.0
97,118040,2045.0
98,116483,9614.0
99,112579,688.0
100,110251,11907.0
101,117110,10874.0
102,112646,89333.0
103,112573,197.0
104,75314,103.0
105,113326,33542.0
106,115645,43566.0
107,113774,71754.0
108,112373,51352.0
109,115033,16934.0
110,116606,10324.0
111,114536,78406.0
112,117427,55731.0
113,106473,32119.0
114,103859,11066.0
115,109424,11104.0
116,114808,37975.0
117,116324,2074.0
118,110647,27793.0
119,114131,110972.0
120,113107,73067.0
121,113451,11863.0
122,116130,9101.0
123,113756,5757.0
124,113952,39428.0
125,118055,9302.0
126,115685,11000.0
127,112585,16388.0
128,112442,9737.0
129,112342,30765.0
130,112461,10474.0
131,112427,22279.0
132,109093,30157.0
133,112384,568.0
134,114287,11780.0
135,112288,34996.0
136,112462,414.0
137,61395,649.0
138,112495,1873.0
139,112541,5894.0
140,109370,1775.0
141,112642,8839.0
142,112688,20649.0
143,112715,10329.0
144,112740,8963.0
145,109508,26564.0
146,112851,8068.0
147,112857,8512.0
148,112864,1572.0
149,112887,13552.0
150,113071,6520.0
151,113114,9073.0
152,113243,10428.0
153,113464,17447.0
154,113481,9886.0
155,113492,9482.0
156,113500,19326.0
157,113540,9344.0
158,113677,9071.0
159,113690,8973.0
160,107447,15730.0
161,113729,47608.0
162,113749,2293.0
163,113820,9070.0
164,113851,68274.0
165,110604,48787.0
166,110620,34574.0
167,113957,1642.0
168,113986,11472.0
169,114095,36196.0
170,114194,11980.0
171,114241,58372.0
172,114323,32646.0
173,114345,10533.0
174,114436,10802.0
175,114478,10149.0
176,114496,18402.0
177,114508,9348.0
178,114558,281.0
179,58450,5967.0
180,114666,79593.0
181,114663,47939.0
182,114702,36834.0
183,114682,9090.0
184,114781,3512.0
185,114798,52856.0
186,114805,77350.0
187,114887,9560.0
188,114898,9804.0
189,114928,31611.0
190,114938,65796.0
191,109340,49805.0
192,112602,26258.0
193,111579,50797.0
194,110882,19155.0
195,112471,76.0
196,112508,11017.0
197,112438,37141.0
198,112571,9382.0
199,112757,6715.0
200,112643,18256.0
201,112679,22625.0
202,109445,2292.0
203,112883,1909.0
204,109635,8984.0
205,109676,4954.0
206,112854,62488.0
207,109579,10531.0
208,109642,11929.0
209,109686,8467.0
210,111797,10451.0
211,109759,20156.0
212,109758,18395.0
213,109707,522.0
214,113117,397.0
215,113097,10525.0
216,113028,27985.0
217,113198,15789.0
218,113303,27303.0
219,113089,21183.0
220,109771,10954.0
221,113199,47867.0
222,113234,43475.0
223,109906,72031.0
224,110057,14275.0
225,110005,1024.0
226,110066,17207.0
227,110116,13701.0
228,110006,14819.0
229,113360,32631.0
230,110099,11777.0
231,110148,628.0
232,113463,87729.0
233,110189,18713.0
234,110216,6280.0
235,113501,9061.0
236,113538,37108.0
237,113552,6071.0
238,76759,11.0
239,110367,9587.0
240,113670,19101.0
241,110296,49980.0
242,109731,17961.0
243,103994,18183.0
244,110322,4476.0
245,110443,11008.0
246,110365,47504.0
247,107566,32325.0
248,110391,43742.0
249,113691,28313.0
250,110428,11318.0
251,109836,3036.0
252,113755,40490.0
253,110538,24070.0
254,110516,8986.0
255,110527,10510.0
256,113808,17402.0
257,113896,38722.0
258,113870,8438.0
259,110684,11593.0
260,110638,1945.0
261,113967,39310.0
262,110671,131957.0
263,110632,241.0
264,110737,9058.0
265,110729,527.0
266,114069,6950.0
267,110413,101.0
268,114113,63020.0
269,114210,2307.0
270,110912,680.0
271,114084,41478.0
272,105652,25296.0
273,110889,40156.0
274,110932,11450.0
275,114129,30304.0
276,110963,10452.0
277,114214,12106.0
278,114296,161495.0
279,110907,3586.0
280,111495,110.0
281,108394,108.0
282,111507,109.0
283,110769,159185.0
284,114268,36357.0
285,114571,28033.0
286,111333,22586.0
287,111112,14334.0
288,111255,2636.0
289,111282,2164.0
290,111070,11395.0
291,111161,278.0
292,111149,9905.0
